,f1,f2,screen_f,screen_koef
0,196.0,223.0,166.0,1.003003003003003
1,90.0,196.0,166.0,1.0030211480362539
2,176.0,223.0,198.0,1.003125
3,176.0,223.0,92.0,1.003125
4,92.0,176.0,248.0,1.0031347962382444
5,90.0,176.0,168.0,1.0031948881789137
6,101.0,266.0,168.0,1.0032154340836013
7,206.0,266.0,278.0,1.003225806451613
8,176.0,206.0,166.0,1.003225806451613
9,17.0,206.0,232.0,1.0032362459546924
10,17.0,266.0,278.0,1.0032362459546924
11,239.0,266.0,278.0,1.0032362459546924
12,68.0,266.0,178.0,1.0032362459546924
13,68.0,266.0,198.0,1.0032362459546924
14,167.0,176.0,168.0,1.0032467532467533
15,162.0,266.0,178.0,1.0032467532467533
16,75.0,258.0,178.0,1.0032467532467533
17,167.0,176.0,258.0,1.0032467532467533
18,167.0,206.0,198.0,1.0032467532467533
19,75.0,101.0,206.0,1.003257328990228
20,176.0,258.0,278.0,1.003257328990228
21,90.0,256.0,268.0,1.0032679738562091
22,90.0,256.0,101.0,1.0032679738562091
23,162.0,176.0,198.0,1.0032786885245903
24,101.0,210.0,227.0,1.0032786885245903
25,189.0,223.0,92.0,1.0032786885245903
26,172.0,176.0,198.0,1.0032786885245903
27,176.0,177.0,178.0,1.0032786885245903
28,176.0,177.0,198.0,1.0032786885245903
29,68.0,176.0,4.0,1.0032894736842104
30,29.0,176.0,4.0,1.0032894736842104
31,75.0,176.0,4.0,1.0032894736842104
32,210.0,223.0,92.0,1.0032894736842104
33,75.0,99.0,227.0,1.0033112582781456
34,90.0,159.0,167.0,1.0033112582781456
35,68.0,210.0,227.0,1.0033333333333332
36,177.0,189.0,206.0,1.0033670033670035
37,177.0,189.0,258.0,1.0033670033670035
38,177.0,189.0,17.0,1.0033670033670035
39,189.0,197.0,101.0,1.0033898305084747
40,189.0,197.0,52.0,1.0033898305084747
41,189.0,197.0,247.0,1.0033898305084747
42,189.0,191.0,230.0,1.0033898305084747
43,189.0,191.0,99.0,1.0033898305084747
44,189.0,191.0,269.0,1.0033898305084747
45,189.0,191.0,52.0,1.0033898305084747
46,137.0,147.0,172.0,1.0034364261168385
